date, value
1977/1/5,51.25
1977/1/6,51.9
1977/1/7,53
1977/1/10,52.25
1977/1/11,52
1977/1/12,52.25
1977/1/13,53.5
1977/1/14,54.5
1977/1/17,54.5
1977/1/18,55
1977/1/19,55.5
1977/1/20,57.5
1977/1/21,58
1977/1/24,58.5
1977/1/25,59
1977/1/26,59
1977/1/27,59
1977/1/28,58.5
1977/1/31,58.35
1977/2/1,58
1977/2/2,58.1
1977/2/3,59.5
1977/2/4,59.05
1977/2/7,59.25
1977/2/8,59.25
1977/2/9,59.25
1977/2/10,58.95
1977/2/11,58.5
1977/2/14,58.35
1977/2/15,57.8
1977/2/16,57.9
1977/2/17,58.25
1977/2/18,58.15
1977/2/22,58.25
1977/2/23,58.73
1977/2/24,58.77
1977/2/25,58.86
1977/2/28,59.66
1977/3/1,58.9
1977/3/2,59
1977/3/3,59.05
1977/3/4,59.1
1977/3/7,58.8
1977/3/8,58.5
1977/3/9,58.35
1977/3/10,57.75
1977/3/11,56.2
1977/3/14,56.75
1977/3/15,57.1
1977/3/16,57
1977/3/17,56.8
1977/3/18,57
1977/3/21,56.75
1977/3/22,57
1977/3/23,56.85
1977/3/24,56.85
1977/3/25,56.5
1977/3/28,56
1977/3/29,55.2
1977/3/30,55.3
1977/3/31,55.5
1977/4/1,55.75
1977/4/4,55.6
1977/4/5,55.75
1977/4/6,55
1977/4/7,54.3
1977/4/11,54.6
1977/4/12,54.95
1977/4/13,55.1
1977/4/14,54.8
1977/4/15,55
1977/4/18,54.85
1977/4/19,54.8
1977/4/20,54.3
1977/4/21,53.4
1977/4/22,53.85
1977/4/25,53.5
1977/4/26,53.1
1977/4/27,53.3
1977/4/28,53.65
1977/4/29,53.75
1977/5/2,53.6
1977/5/3,53.8
1977/5/4,53.65
1977/5/5,53.3
1977/5/6,53.25
1977/5/9,53.25
1977/5/10,53.05
1977/5/11,53.3
1977/5/12,53.05
1977/5/13,53
1977/5/16,52.5
1977/5/17,52
1977/5/18,51
1977/5/19,50
1977/5/20,49.3
1977/5/23,48
1977/5/24,48.4
1977/5/25,49.14
1977/5/26,48.9
1977/5/27,49.14
1977/5/31,48.7
1977/6/1,48.85
1977/6/2,48.5
1977/6/3,46.85
1977/6/6,46
1977/6/7,44.05
1977/6/8,43.35
1977/6/9,42
1977/6/10,44.6
1977/6/13,42.5
1977/6/14,42.2
1977/6/15,44.4
1977/6/16,45.5
1977/6/17,44.9
1977/6/20,44.75
1977/6/21,45.2
1977/6/22,45.25
1977/6/23,45.25
1977/6/24,45.45
1977/6/27,45.85
1977/6/28,45.75
1977/6/29,45.8
1977/6/30,45.8
1977/7/1,45.3
1977/7/5,45.2
1977/7/6,45.4
1977/7/7,45
1977/7/8,44.7
1977/7/11,44.5
1977/7/12,44.4
1977/7/13,44
1977/7/15,43.75
1977/7/18,44.3
1977/7/19,44.5
1977/7/20,44.1
1977/7/21,44.1
1977/7/22,44
1977/7/25,44.25
1977/7/26,44
1977/7/27,43.25
1977/7/28,43
1977/7/29,43
1977/8/1,42.5
1977/8/2,43
1977/8/4,42.95
1977/8/5,42.6
1977/8/8,42.5
1977/8/9,42.6
1977/8/10,42.35
1977/8/11,42.2
1977/8/12,42.2
1977/8/15,41.7
1977/8/16,41.7
1977/8/17,41.7
1977/8/18,41.65
1977/8/19,41.7
1977/8/22,41.75
1977/8/23,41.9
